student_code,full_name,grade_level
11698142,"Lagunsad, Cristine",Grade 4
68186525,"Sablayan, Kevin",Grade 12 - STEM
30534124,"Abella, April",Grade 12 - HUMSS
97302916,"Sabado, Rodel",Grade 12 - GAS
74893936,"Indan, Grace",Grade 9
53258988,"Ortega, Jennifer",Grade 9
70505620,"Zabala, Jennifer",Grade 12 - STEM
86483924,"Umali, Gilbert",Grade 11 - HUMSS
55150390,"Lalata, Ana",Grade 11 - STEM
34406132,"Agcaoili, Ian",Grade 11 - ABM
44675473,"Dalisay, Karen",Grade 9
84597009,"Macenas, Maria",Grade 7
21490777,"Yabes, Rogelio",Grade 11 - GAS
75575808,"Zamora, Erica",Grade 8
73900135,"Villamor, Reymark",Grade 12 - ABM
70152969,"Pascual, Juan",Grade 10
39742165,"Urbano, Daisy",Grade 8
51098277,"Pagaduan, Gian",Grade 11 - ABM
73519947,"Madelo, Nathan",Grade 11 - ABM
67110154,"Nazareno, Hannah",Grade 11 - STEM
57219209,"Jalandoni, Clarissa",Grade 9
51154241,"Cabiling, Arnel",Grade 4
35848226,"Vergara, John",Grade 12 - GAS
34850391,"Agno, Danilo",Grade 12 - ABM
47111151,"Quimpo, Emilio",Grade 12 - HUMSS
90099897,"Rivera, Jayson",Grade 7
49761527,"Esteron, Maricel",Grade 6
50569669,"Villalon, Maria",Grade 12 - GAS
26989677,"Villanueva, Marites",Grade 2
84270583,"Villacorta, Sheila",Grade 5
95613415,"Lagunsad, Jerome",Grade 4
11646234,"Dalistan, Kristine",Grade 12 - ABM
74251933,"Espinosa, Carl",Grade 6
16895666,"Lacson, Arnel",Grade 4
18770247,"Lagunsad, Daisy",Grade 3
87446468,"Unas, Leandro",Grade 2
30364454,"Pabilona, Remedios",Grade 10
21432787,"Vergara, Jennifer",Grade 12 - GAS
65857931,"Quinto, Joana",Grade 8
80138498,"Jacinto, Nico",Grade 12 - STEM
49910061,"Ignacio, Roxanne",Grade 10
86320155,"Evangelista, Melissa",Grade 4
37888820,"Agcaoili, Leandro",Grade 9
98641164,"Amante, Eduardo",Grade 8
33328859,"Lopez, Nathan",Grade 6
10359129,"Jacinto, Paolo",Grade 12 - ABM
49092160,"Cabiling, Carlos",Grade 10
47945817,"Jalandoni, Clarissa",Grade 3
41329612,"Sabile, Christine",Grade 7
67061186,"Navarrete, Francisco",Grade 8
96924061,"Candelario, Remedios",Grade 5
19584466,"Ambrosio, Elena",Grade 10
89865458,"Pacion, Hannah",Grade 10
68942178,"Jamero, Corazon",Grade 10
64023778,"Landayan, Rodel",Grade 12 - GAS
76276072,"Manalo, Carl",Grade 2
67985905,"Eguia, Vince",Grade 9
13471527,"Caballero, Carmen",Grade 1
46173157,"Castillo, Kristine",Grade 6
73149551,"Tabayag, Angelo",Grade 12 - STEM
47333543,"Pagaling, Milagros",Grade 11 - GAS
95199362,"Pascual, Ian",Grade 12 - ABM
56702542,"Elli, Paolo",Grade 11 - STEM
99943797,"Amaro, Natividad",Grade 11 - STEM
65250068,"Lalata, Lance",Grade 10
98930456,"Zamora, Daisy",Grade 12 - GAS
14925405,"Ortega, Dennis",Grade 11 - STEM
43876400,"Valencia, Glenda",Grade 11 - HUMSS
79067939,"Tacorda, Jose",Grade 12 - GAS
72005415,"Aquino, Paolo",Grade 7
79583757,"Sabater, Kevin",Grade 12 - ABM
93940940,"Zamora, Carl",Grade 2
37321124,"Nazareno, Rodel",Grade 5
48658617,"Villacorta, Carl",Grade 12 - ABM
26297533,"Sabillo, Ana",Grade 8
31257157,"Nebres, Lovely",Grade 1
84121929,"Pascual, Paolo",Grade 8
25228493,"Vergara, Grace",Grade 5
76890827,"Damasco, Camille",Grade 12 - HUMSS
46698468,"Lago, Cristine",Grade 12 - ABM
42713008,"Nebres, Dennis",Grade 5
61484043,"Quirino, Danilo",Grade 12 - HUMSS
28321839,"Capistrano, Ramon",Grade 11 - GAS
55617282,"Candelario, Christian",Grade 1
47962005,"Dantes, Emilio",Grade 12 - ABM
29944139,"Natad, Lea",Grade 12 - ABM
56321751,"Nebres, Aldrin",Grade 12 - GAS
60628276,"Eguia, Dennis",Grade 7
42051937,"Famorcan, Kristine",Grade 8
65133300,"Edralin, Rosa",Grade 12 - ABM
61167978,"Tadena, Arlene",Grade 5
76481885,"Zabala, Carlos",Grade 12 - HUMSS
89212676,"Rivera, Aldrin",Grade 12 - STEM
23383077,"Jalandoni, Aileen",Grade 1
29348212,"Tablizo, Paolo",Grade 5
20043277,"Campomanes, Ryan",Grade 11 - STEM
93652460,"Galang, Lance",Grade 3
54099326,"Narvasa, Tristan",Grade 11 - HUMSS
52501540,"Villaneva, Leandro",Grade 12 - ABM
82613940,"Sabalza, Carlos",Grade 3
41510328,"Unas, Leandro",Grade 10
40532691,"Pascual, Hannah",Grade 11 - GAS
23212812,"Sablayan, Janine",Grade 4
69549527,"Urbano, Felicitas",Grade 10
13885234,"Elago, Rosa",Grade 2
49375156,"Fajardo, Rosalie",Grade 11 - GAS
29538047,"Madelo, Jennifer",Grade 11 - GAS
85957578,"Abrego, Samantha",Grade 6
33497411,"Ragasa, Eduardo",Grade 11 - HUMSS
93176117,"Cabreza, Samantha",Grade 12 - ABM
88270025,"Cabiling, Ernesto",Grade 12 - STEM
95618110,"Jalmanzar, Arnel",Grade 9
99501846,"Jamero, Maria",Grade 10
83363160,"Hernandez, Manuel",Grade 12 - STEM
56381032,"Dantes, Roxanne",Grade 11 - GAS
43567615,"Daproza, Dennis",Grade 7
61632653,"Tan, Faith",Grade 8
61185849,"Estepa, Kristine",Grade 10
49625201,"Tacorda, Juan",Grade 11 - HUMSS
46840133,"Pabilona, Maria",Grade 2
91390501,"Lambino, Hannah",Grade 10
40885967,"Estela, Joana",Grade 8
95445405,"Sabalza, Danilo",Grade 9
98473848,"Alejo, Samantha",Grade 4
94216001,"Castillo, Reymark",Grade 10
69166287,"Pagaduan, Carlos",Grade 11 - ABM
27637794,"Damasen, Carmen",Grade 11 - STEM
65767881,"Adaza, Rolando",Grade 5
82398083,"Madelo, Kevin",Grade 12 - HUMSS
46578001,"Camello, Felicitas",Grade 12 - ABM
49613214,"Encarguez, Hannah",Grade 4
72858374,"Alipio, Luz",Grade 8
63339667,"Estipona, Erica",Grade 3
62958901,"Campomanes, Maria",Grade 12 - GAS
26587799,"Fabian, Dennis",Grade 9
88458327,"Sabornido, Nico",Grade 11 - ABM
24541967,"Cabiling, Tristan",Grade 12 - ABM
13358751,"Pabalan, Melissa",Grade 11 - STEM
91883846,"Tabaosares, Alfredo",Grade 3
95282470,"Villafuerte, Grace",Grade 10
97139443,"Valencia, Paolo",Grade 5
16086345,"Daproza, Carlos",Grade 12 - ABM
25585427,"Cabrera, Antonio",Grade 12 - GAS
28208520,"Jalandoni, Arlene",Grade 11 - ABM
99991136,"Villacorta, Hannah",Grade 12 - GAS
66254240,"Yap, Roxanne",Grade 5
65684858,"Rivera, Jasmine",Grade 12 - ABM
92631441,"Dalisay, Paolo",Grade 2
59731689,"Ines, Patricia",Grade 12 - STEM
41690501,"Rivera, Kevin",Grade 11 - ABM
83076970,"Estepa, Reymark",Grade 2
63437398,"Abutal, Marites",Grade 4
71031132,"Tadena, Carmen",Grade 7
96128115,"Quinto, Alyssa",Grade 1
16788532,"Cadiente, Aldrin",Grade 5
85776373,"Gonzalez, Ronaldo",Grade 12 - GAS
37804191,"Agno, Roxanne",Grade 8
54098516,"Quinto, Ernesto",Grade 1
47215199,"Aguilar, Ernesto",Grade 12 - GAS
43642236,"Uy, Rolando",Grade 1
27690330,"Estepa, Maria",Grade 8
89034501,"Ocampo, Glenda",Grade 6
45617024,"Zabala, Miguel",Grade 11 - GAS
80610004,"Yap, Francisco",Grade 3
73920651,"Esteron, Lea",Grade 12 - HUMSS
89680504,"Jacinto, Natividad",Grade 12 - HUMSS
39735904,"Villanueva, Gilbert",Grade 12 - HUMSS
50484137,"Tabada, Dennis",Grade 1
18163847,"Galaura, Faith",Grade 11 - GAS
24490391,"Villamor, Ian",Grade 12 - STEM
19863756,"Eguia, Eduardo",Grade 5
18815720,"Capistrano, Roberto",Grade 12 - GAS
53645651,"Quinto, Nico",Grade 12 - HUMSS
49580505,"Macapagal, Dennis",Grade 11 - GAS
23311507,"Valencia, Clarissa",Grade 12 - GAS
38859907,"Jacinto, April",Grade 8
65541117,"Jalandoni, Karen",Grade 11 - HUMSS
65833185,"Quinto, Abigail",Grade 11 - STEM
67279295,"Tadeo, John",Grade 9
60237832,"Unas, Remedios",Grade 12 - ABM
19010480,"Navarro, Carmen",Grade 3
67965485,"Yap, Antonio",Grade 11 - ABM
27463800,"Evangelista, Erica",Grade 12 - GAS
85387867,"Umali, Aldrin",Grade 4
65137801,"Tadeo, Rosalie",Grade 11 - GAS
16904975,"Quirino, Jayson",Grade 10
57197152,"Padua, Natividad",Grade 12 - HUMSS
38553319,"Tacorda, Remedios",Grade 12 - ABM
40097636,"Estacio, Natividad",Grade 12 - GAS
59333209,"Zapanta, Francisco",Grade 9
87054398,"Ignacio, Alfredo",Grade 12 - GAS
93446356,"Umalin, Gilbert",Grade 12 - GAS
13523729,"Tacorda, Joana",Grade 9
13886030,"Canonigo, Milagros",Grade 10
55610493,"Reyes, Marvin",Grade 6
29226889,"Tacorda, Kenneth",Grade 11 - HUMSS
19339597,"Yango, Ernesto",Grade 1
22315507,"Madelo, Hannah",Grade 7
60491958,"Jalandoni, Cristine",Grade 11 - STEM
31127115,"Ebora, Mylene",Grade 11 - STEM
86181117,"Navarro, Francis",Grade 2
30881581,"Zalameda, Manuel",Grade 2
20949687,"Ines, Rodel",Grade 11 - GAS
75184410,"Ines, Joana",Grade 11 - GAS
46663833,"Zalameda, Patricia",Grade 12 - HUMSS
25276327,"Imperial, Marvin",Grade 4
48016697,"Umanito, Tristan",Grade 12 - ABM
80723898,"Darang, Nicole",Grade 2
39597483,"Quirino, Jomar",Grade 2
11031743,"Daproza, Ronaldo",Grade 7
28419343,"Camello, Janine",Grade 10
54039837,"Reyes, Corazon",Grade 12 - ABM
67801537,"Aguilar, Rolando",Grade 11 - HUMSS
81481992,"Caballero, Andrei",Grade 12 - HUMSS
84990607,"Estela, Nicole",Grade 3
63293990,"Castillo, Vince",Grade 11 - GAS
12515446,"Lopez, Dennis",Grade 11 - STEM
87277086,"Pacleb, Jericho",Grade 11 - HUMSS
95918360,"Damasco, Cristine",Grade 4
64362516,"Elago, Juan",Grade 6
92963368,"Ungos, Dennis",Grade 11 - ABM
21828592,"Tan, April",Grade 8
68475513,"Galaura, Roxanne",Grade 12 - HUMSS
20555833,"Ebora, Jomar",Grade 11 - STEM
39738898,"Abad, Aldrin",Grade 3
78515906,"Valencia, Alyssa",Grade 12 - HUMSS
78444607,"Estacio, Danilo",Grade 11 - ABM
96629889,"Cabrera, Ernesto",Grade 4
29655410,"Acosta, Arnel",Grade 6
90852623,"Zamora, Remedios",Grade 3
33776150,"Lalata, Leandro",Grade 12 - STEM
85663295,"Pagaduan, Janine",Grade 12 - STEM
85764804,"Sablayan, Reymark",Grade 11 - STEM
94183695,"Alvarez, John",Grade 12 - STEM
19165226,"Ines, Ryan",Grade 10
46866075,"Dela Cruz, Roxanne",Grade 11 - ABM
78093604,"Ebora, Luz",Grade 12 - STEM
70654852,"Dela Cruz, Carlos",Grade 11 - ABM
48530827,"Tabaosares, Luz",Grade 3
92545028,"Macapagal, Francis",Grade 11 - HUMSS
72104107,"Nebres, Adrian",Grade 2
70362235,"Tabayag, Kristine",Grade 7
53154591,"Jaraula, Joana",Grade 12 - HUMSS
30248230,"Jacinto, Elena",Grade 4
56095437,"Navarro, Camille",Grade 12 - HUMSS
96721710,"Castillo, Rolando",Grade 8
68754920,"Madarang, Carl",Grade 12 - HUMSS
91846696,"Estipona, Manuel",Grade 11 - ABM
47969333,"Gallardo, Arlene",Grade 11 - STEM
90246882,"Sabillo, Miguel",Grade 11 - STEM
18846539,"Quinto, Aldrin",Grade 12 - GAS
61883769,"Camba, Jayson",Grade 5
54743095,"Pagaling, Eduardo",Grade 5
56952151,"Tablizo, Lovely",Grade 11 - HUMSS
27307598,"Villalon, Francis",Grade 3
51551377,"Fallorin, Erica",Grade 11 - STEM
27152188,"Villafuerte, Nicole",Grade 12 - HUMSS
22543044,"Umali, Reymark",Grade 11 - GAS
78248169,"Ocampo, Kevin",Grade 11 - ABM
51455302,"Agcaoili, Milagros",Grade 11 - STEM
75266178,"Bustamante, Danilo",Grade 5
30796389,"Damasen, Luz",Grade 4
78140959,"Yango, Jessa",Grade 12 - HUMSS
15066382,"Encarguez, Gian",Grade 5
90161060,"Amador, Nico",Grade 6
34272734,"Zara, Lance",Grade 6
68743530,"Galvez, Rosa",Grade 11 - ABM
41880763,"Ragasa, Carl",Grade 10
70254091,"Narvasa, Maricel",Grade 8
51536077,"Aceron, Ryan",Grade 11 - ABM
86560394,"Jalova, Carl",Grade 10
61254050,"Madelo, Christian",Grade 11 - GAS
31751079,"Quisumbing, Cynthia",Grade 5
43554863,"Tabada, Miguel",Grade 12 - ABM
59823245,"Salazar, Nathan",Grade 12 - HUMSS
26733967,"Navarro, Jayson",Grade 6
46613428,"Maceda, Lea",Grade 5
68716573,"Agoto, Carmen",Grade 12 - STEM
56920514,"Gammad, Ana",Grade 2
63211150,"Fajardo, Christian",Grade 8
61830338,"Fajardo, Eduardo",Grade 8
13783268,"Rivera, John",Grade 11 - STEM
29602406,"Andres, Lourdes",Grade 10
73411827,"Alejo, Clarissa",Grade 12 - ABM
70210270,"Reyes, Gilbert",Grade 3
12550658,"Agno, Arnel",Grade 5
83659258,"Racoma, Abigail",Grade 12 - HUMSS
66808292,"Dalusong, Francisco",Grade 8
50419829,"Ramos, Corazon",Grade 8
66348030,"Sabater, Alyssa",Grade 12 - STEM
18429833,"Lambino, Francisco",Grade 12 - GAS
12205915,"Maceda, Leandro",Grade 8
29270557,"Ignacio, Sheila",Grade 1
92518345,"Cabreza, Rosalie",Grade 11 - GAS
35140847,"Umali, Nicole",Grade 3
80260907,"Gonzalez, Kevin",Grade 12 - HUMSS
83025444,"Macapagal, Christian",Grade 12 - GAS
12729224,"Janolo, Arlene",Grade 2
95318289,"Fajardo, Arlene",Grade 9
12179995,"Gonzalez, Rosalie",Grade 11 - ABM
42363373,"Tacorda, Abigail",Grade 4
88101741,"Zalameda, Vince",Grade 11 - STEM
27905932,"Estela, Rosa",Grade 12 - GAS
55439043,"Abadilla, Reymark",Grade 12 - STEM
74227366,"Abrego, Leandro",Grade 5
18469210,"Jalmanzar, Camille",Grade 2
49385195,"Villanueva, Cynthia",Grade 7
15624520,"Ebora, John",Grade 12 - HUMSS
63448727,"Jaraula, Jessa",Grade 9
14915156,"Tabaosares, Jerome",Grade 7
48401154,"Ramos, Rosalie",Grade 11 - STEM
46670512,"Fabian, Corazon",Grade 11 - GAS
63690013,"Indunan, Hannah",Grade 11 - HUMSS
55504725,"Lambino, Milagros",Grade 12 - ABM
59304469,"Candelario, Angelo",Grade 3
66975380,"Imperial, Eduardo",Grade 6
83212334,"Eguia, Sheila",Grade 4
20746667,"Tadena, Glenda",Grade 10
51137177,"Quisumbing, Lea",Grade 11 - GAS
