faculty_code,full_name,department
1579934,"Alvarado, Nico",Senior High School - ABM Department
4802306,"Lopez, Nathan",Senior High School - PE and Health Department
1311073,"Amador, Florencia",Administrative Department
7703235,"Macasaet, Cristine",Senior High School - PE and Health Department
4822342,"Narvasa, Rolando",Junior High School - TLE Department
1915575,"Villafuerte, Patricia",Senior High School - HUMSS Department
5358834,"Pabalan, Manuel",Grade School - Filipino Department
8293246,"Pabalan, Jose",Grade School - English Department
4389603,"Pascual, Roberto",Senior High School - HUMSS Department
6041072,"Alcantara, Elena",Grade School - MAPEH Department
8224753,"Santos, Remedios",Senior High School - HUMSS Department
1597275,"Fabian, Christian",Junior High School - Values Education Department
2241887,"Quimpo, Felicitas",Junior High School - English Department
6726369,"Flores, April",Senior High School - Science Department
2526626,"Macapagal, Mylene",Grade School - MAPEH Department
4902730,"Padua, Janine",Senior High School - Science Department
4496347,"Ramos, Hannah",Junior High School - TLE Department
4383563,"Ortega, Victorino",Grade School - Social Studies Department
8976183,"Aguilar, Reginald",Grade School - MAPEH Department
5303837,"Tadeo, Felicitas",Senior High School - Mathematics Department
9464126,"Andres, Jessa",Junior High School - English Department
5035002,"Vergara, Aileen",Senior High School - GAS Department
8063161,"Narvasa, Jomar",Senior High School - English Department
2216051,"Alcantara, Rogelio",Junior High School - Filipino Department
6606762,"Quinto, Jocelyn",Grade School - Filipino Department
1496608,"Galvez, Carlos",Grade School - Mathematics Department
6288028,"Mendoza, Danilo",Senior High School - GAS Department
5913264,"Alvarado, Milagros",Senior High School - GAS Department
5276786,"Padua, Maria",Senior High School - Mathematics Department
5954854,"Zamora, Cynthia",Junior High School - Araling Panlipunan Department
2913881,"Dalisay, Manuel",Junior High School - MAPEH Department
3387271,"Caballero, Abigail",Senior High School - Mathematics Department
5368419,"Ignacio, Cynthia",Grade School - Mathematics Department
1456638,"Vergara, Rosalie",Grade School - Social Studies Department
2313989,"Cruz, Nico",Junior High School - Araling Panlipunan Department
6334747,"Aguilar, Nico",Senior High School - English Department
3574284,"Andres, Wilhelmina",Grade School - English Department
1487359,"Tan, Rolando",Junior High School - English Department
6763986,"Alcantara, Melissa",Guidance and Counseling Department
2182099,"Santos, Gian",Junior High School - TLE Department
2911995,"Galvez, Lance",Grade School - Science Department
7203635,"Gallardo, Jocelyn",Senior High School - English Department
7305650,"Nepomuceno, Teodoro",Senior High School - HUMSS Department
5240080,"Fabian, Nicole",Junior High School - English Department
4240186,"Quimpo, Maricel",Senior High School - Science Department
4989798,"Navarrete, Sheila",Senior High School - HUMSS Department
9399006,"Pabalan, Jose",Grade School - English Department
9340794,"Espiritu, Marvin",Senior High School - Mathematics Department
7518841,"Urbano, Kevin",Junior High School - Filipino Department
2968106,"Natad, Rolando",Guidance and Counseling Department
5368015,"Farinas, Vivencio",Junior High School - English Department
4215989,"Manalo, Ernesto",Grade School - Values Education Department
8342397,"Rivera, Remedios",Library Department
4557389,"Ortega, Lance",Grade School - Filipino Department
8738296,"Macenas, Manuel",Grade School - Filipino Department
5562123,"Villaneva, Ofelia",Guidance and Counseling Department
3038096,"Lalata, Abigail",Grade School - Mathematics Department
7779203,"Lambino, Ligaya",Junior High School - English Department
8923692,"Alvarez, Perpetua",Guidance and Counseling Department
7447953,"Tomas, Ana",Grade School - Mathematics Department
9318350,"Zamora, Eduardo",Guidance and Counseling Department
8261276,"Macasaet, Rogelio",Senior High School - Mathematics Department
9201954,"Zara, Francisco",Senior High School - Science Department
2597049,"Quisumbing, Sheila",Senior High School - Mathematics Department
2540567,"Estipona, Carlos",Junior High School - Araling Panlipunan Department
7970568,"Evangelista, Jose",Library Department
9076942,"Mendoza, Sheila",Senior High School - PE and Health Department
1137706,"Ortega, Faith",Senior High School - GAS Department
8822626,"Abella, Maricel",Senior High School - Science Department
2729928,"Lacson, Rodel",Junior High School - Mathematics Department
4522083,"Camacho, Rolando",Grade School - MAPEH Department
3502443,"Ramos, Miguel",Junior High School - English Department
9413969,"Ragasa, Florencia",Senior High School - PE and Health Department
8001414,"Gammad, Benigno",Junior High School - Mathematics Department
2728987,"Villalon, Vivencio",Junior High School - TLE Department
5949996,"Pagaduan, Nathan",Junior High School - Values Education Department
4172830,"Tabaosares, Carlos",Senior High School - Science Department
2186990,"Ocampo, Luz",Administrative Department
3371067,"Pascual, Juan",Senior High School - GAS Department
2833568,"Farinas, Generosa",Senior High School - GAS Department
2393930,"Candelario, Joaquin",Grade School - Filipino Department
7447527,"Daproza, Kenneth",Senior High School - Science Department
9934355,"Estacio, Victorino",Senior High School - HUMSS Department
8182517,"Padua, Christian",Grade School - Science Department
9784818,"Tacorda, Gian",Grade School - Values Education Department
5715310,"Encarguez, Reginald",Administrative Department
9798255,"Gammad, Augusto",Senior High School - English Department
7717794,"Del Rosario, Hazel",Administrative Department
6187235,"Nepomuceno, Manuel",Senior High School - GAS Department
2729965,"Alvarez, Sheila",Junior High School - Araling Panlipunan Department
1822016,"Sabornido, Jericho",Senior High School - ABM Department
1955654,"Garcia, Ligaya",Administrative Department
3011510,"Nazareno, Arnel",Library Department
3700238,"Evangelista, Camille",Senior High School - GAS Department
9651226,"Ortega, Bernard",Senior High School - PE and Health Department
6040292,"Zapanta, Manuel",Junior High School - Values Education Department
1085302,"Campomanes, Antonio",Administrative Department
3497192,"Amante, Clarita",Library Department
9944181,"Cabrera, Remedios",Grade School - English Department
2838286,"Del Rosario, Ramon",Guidance and Counseling Department
3124395,"Yambao, Luz",Library Department
5390084,"Yambot, Hazel",Grade School - MAPEH Department
2472974,"Villanueva, Lourdes",Senior High School - English Department
7511745,"Hernandez, Generosa",Grade School - MAPEH Department
9080598,"Macuto, Paolo",Senior High School - Filipino Department
6410157,"Eguia, Nicole",Junior High School - English Department
4185819,"Ragasa, Zenaida",Junior High School - TLE Department
7486944,"Agno, Jomar",Senior High School - PE and Health Department
2617666,"Villafuerte, Jericho",Senior High School - HUMSS Department
6145815,"Villamor, Lance",Senior High School - HUMSS Department
8202792,"Galeon, Nico",Senior High School - Mathematics Department
6927704,"Macasaet, Jericho",Junior High School - Araling Panlipunan Department
4787103,"Yabut, John",Senior High School - GAS Department
3441531,"Lagunsad, Aileen",Junior High School - Values Education Department
5906233,"Famorcan, Joana",Junior High School - English Department
2577453,"Sabornido, Xyza",Senior High School - GAS Department
2140331,"Quimpo, Erica",Grade School - MAPEH Department
1154680,"Sablayan, Roxanne",Junior High School - TLE Department
8247664,"Lagunsad, Juanita",Senior High School - ABM Department
8086211,"Salazar, Victorino",Senior High School - GAS Department
8387274,"Elago, Hannah",Senior High School - Science Department
7420511,"Santa Maria, Karen",Junior High School - MAPEH Department
8207388,"Mendoza, Angelo",Senior High School - ABM Department
6119115,"Camba, Kenneth",Senior High School - Mathematics Department
8412423,"Ragasa, Rosa",Grade School - Science Department
7514353,"De Guzman, Lance",Senior High School - GAS Department
5460102,"Yap, Alfredo",Junior High School - Araling Panlipunan Department
3452085,"Caminero, Jennifer",Senior High School - PE and Health Department
3412057,"Ramos, Aldrin",Senior High School - Science Department
5933377,"Zamora, Camille",Grade School - Science Department
5293834,"Dalisay, Marites",Junior High School - Filipino Department
8154135,"Elago, Miguel",Senior High School - Filipino Department
2691729,"Yambot, Generosa",Junior High School - TLE Department
4886468,"Yambao, Daisy",Senior High School - Filipino Department
1597482,"Tan, Yolanda",Senior High School - ABM Department
8120319,"Pascual, Rosa",Grade School - English Department
1974735,"Estipona, Hannah",Junior High School - Values Education Department
5661917,"Macenas, Perpetua",Grade School - Science Department
4255424,"Zapanta, Generosa",Senior High School - Mathematics Department
4868719,"Cabreza, Ramon",Senior High School - GAS Department
3765891,"Pabilona, Rosalie",Library Department
4573389,"Yap, Erica",Junior High School - Science Department
1881805,"Lagua, Rolando",Grade School - Values Education Department
7142096,"Pagaling, Quirino",Senior High School - Science Department
5112870,"Madarang, Maricel",Senior High School - Science Department
8523838,"Ambrosio, Teodoro",Senior High School - Filipino Department
8753463,"De Leon, Danilo",Grade School - MAPEH Department
3053616,"Jacinto, Dionisio",Junior High School - Science Department
9513378,"Narvasa, Leandro",Junior High School - Filipino Department
8996409,"Tacorda, Janine",Junior High School - English Department
1496540,"Mendoza, Carmen",Senior High School - English Department
5191749,"Adlawan, Miguel",Grade School - Science Department
4455219,"Imperial, Katrina",Senior High School - ABM Department
9167709,"Sabater, Jocelyn",Junior High School - Filipino Department
4951485,"Zapata, Maricel",Junior High School - Filipino Department
9199418,"Dantes, Dionisio",Junior High School - MAPEH Department
9115432,"Bustamante, Domingo",Grade School - MAPEH Department
1500479,"Ramos, Luz",Grade School - MAPEH Department
1268420,"Falloran, Janine",Junior High School - Mathematics Department
8851202,"Pascual, Generosa",Junior High School - Mathematics Department
8094091,"Ungos, Danilo",Junior High School - Values Education Department
1616768,"De Leon, Rodel",Junior High School - Values Education Department
4075636,"Camacho, Ronaldo",Senior High School - English Department
5518407,"Vergara, Roxanne",Senior High School - PE and Health Department
7180029,"Macasaet, Juanita",Grade School - English Department
3658667,"Natividad, Adrian",Junior High School - Values Education Department
4739133,"Macapagal, Esperanza",Administrative Department
6703876,"Zara, Marvin",Grade School - English Department
9111358,"Abad, Mylene",Grade School - Mathematics Department
1506511,"Zabanal, Maribel",Junior High School - MAPEH Department
4544243,"Alejo, Consolacion",Grade School - Filipino Department
6190840,"Villamor, Patricia",Junior High School - Science Department
4662038,"Lambino, Ulysses",Senior High School - English Department
5564893,"Salazar, Augusto",Grade School - Social Studies Department
1433173,"Indan, Maricel",Senior High School - Filipino Department
1460509,"Sabater, Marites",Junior High School - TLE Department
2840792,"Nepomuceno, Quirino",Senior High School - ABM Department
3163258,"Lagunsad, Faith",Grade School - Social Studies Department
9312515,"Villamor, Rolando",Senior High School - ABM Department
9757483,"Cabrera, Lea",Junior High School - MAPEH Department
7381559,"Mendoza, Consolacion",Grade School - Values Education Department
4507312,"Villalon, Luz",Grade School - Values Education Department
7587432,"Valencia, Katrina",Grade School - Filipino Department
3574774,"Sabornido, Karlo",Library Department
7007479,"Racoma, Fausto",Senior High School - Mathematics Department
3570953,"Sabado, Aldrin",Junior High School - Values Education Department
3313854,"Landayan, Lourdes",Grade School - Science Department
2202926,"Aceron, Jose",Guidance and Counseling Department
5498766,"Quirino, Augusto",Grade School - Social Studies Department
9804513,"Dalusong, Grace",Grade School - English Department
7867780,"Amaro, Resurreccion",Junior High School - MAPEH Department
5272623,"Castillo, Jerome",Grade School - Filipino Department
4875288,"Dela Cruz, Melissa",Senior High School - Mathematics Department
2629339,"Quimpo, Joana",Grade School - Filipino Department
8375450,"Galvez, Maribel",Junior High School - TLE Department
6321176,"Torres, Remedios",Junior High School - Science Department
8196775,"Quimpo, Alyssa",Junior High School - Science Department
1481925,"Macapagal, Gilbert",Junior High School - Mathematics Department
7010632,"Fajardo, Felicitas",Senior High School - HUMSS Department
1324198,"Galeon, Dionisio",Senior High School - Science Department
3040820,"Santa Maria, Camille",Guidance and Counseling Department
2031456,"Sabile, Bernard",Junior High School - English Department
3694416,"Bautista, Carl",Junior High School - MAPEH Department
9146702,"Cabrera, Ramon",Senior High School - GAS Department
7760765,"Villalon, Lorena",Guidance and Counseling Department
6083071,"Castillo, Felicitas",Grade School - English Department
9914625,"San Pedro, Dennis",Senior High School - Mathematics Department
5802717,"Lambino, Juan",Junior High School - MAPEH Department
7204725,"Indan, Soledad",Junior High School - Filipino Department
7725292,"Sabornido, Isidro",Grade School - English Department
8057707,"Cadiente, Joaquin",Grade School - Values Education Department
1141574,"Tan, Natividad",Grade School - Science Department
8941873,"Fajardo, Roxanne",Junior High School - Filipino Department
6730993,"Ibanez, Jessa",Junior High School - Values Education Department
3984319,"Alejo, Clarissa",Guidance and Counseling Department
7199539,"Unas, Vince",Grade School - Mathematics Department
3661669,"Alvarado, Imelda",Junior High School - TLE Department
7379134,"Espinosa, Perpetua",Grade School - Mathematics Department
2644896,"Tabaosares, Estelita",Administrative Department
8089997,"Gallardo, Rodel",Senior High School - Filipino Department
3786446,"Agno, Christine",Grade School - Filipino Department
3605426,"Ocampo, Fausto",Senior High School - PE and Health Department
6842563,"Yambao, Arlene",Guidance and Counseling Department
4960979,"Garcia, Wilhelmina",Senior High School - HUMSS Department
1872479,"Eguia, Benigno",Senior High School - Mathematics Department
9243095,"Valencia, Vivencio",Grade School - Mathematics Department
6237446,"Encarguez, John",Junior High School - Mathematics Department
1278094,"Rivera, Corazon",Administrative Department
3908260,"Villafuerte, Xyza",Junior High School - Araling Panlipunan Department
6141829,"San Pedro, Milagros",Grade School - English Department
9895332,"Alvarez, Dennis",Grade School - Science Department
2855830,"Zalameda, Xyza",Senior High School - Filipino Department
2909386,"Macapagal, Hazel",Junior High School - TLE Department
9354128,"Sabile, Alyssa",Senior High School - PE and Health Department
2933346,"Camba, Resurreccion",Senior High School - HUMSS Department
2907227,"Villanueva, Jayson",Junior High School - Science Department
2772546,"Mendoza, Maria",Junior High School - Filipino Department
8795071,"Pascual, Esperanza",Senior High School - English Department
8577426,"Racoma, Ryan",Junior High School - English Department
6004267,"Ganancial, Narciso",Junior High School - TLE Department
6318907,"Lagunsad, Patricia",Grade School - Mathematics Department
3540448,"Espinosa, Karen",Grade School - Social Studies Department
9378380,"Gallardo, Ligaya",Senior High School - Filipino Department
2352034,"Yap, John",Grade School - Values Education Department
3934013,"Umpad, Nicole",Junior High School - Science Department
1909687,"Andres, Joaquin",Junior High School - MAPEH Department
7176954,"Damasco, Reginald",Grade School - Filipino Department
4890867,"De Guzman, Ramon",Junior High School - TLE Department
4211913,"Hernandez, Lance",Junior High School - Araling Panlipunan Department
6376733,"Villanueva, Francisco",Senior High School - ABM Department
1019279,"Damasco, Carmen",Senior High School - English Department
6944001,"Aquino, Eduardo",Senior High School - Science Department
3712038,"Yambao, Florencia",Junior High School - Science Department
3853811,"Narvasa, Ronaldo",Administrative Department
9209388,"Macasaet, Lourdes",Senior High School - Science Department
3496306,"Edralin, Luz",Junior High School - MAPEH Department
9621263,"Farinas, Cynthia",Senior High School - Science Department
2051958,"Dalisay, Teresita",Senior High School - Science Department
6545289,"Zapanta, Erica",Grade School - Social Studies Department
8348921,"Famorcan, Victorino",Senior High School - Mathematics Department
8398942,"Madelo, Karlo",Grade School - MAPEH Department
8328056,"Villafuerte, Bernard",Junior High School - Science Department
3113057,"Tadeo, Warlito",Junior High School - English Department
5675683,"Dalisay, Quirino",Senior High School - Science Department
9798814,"Tablizo, Alyssa",Administrative Department
1385921,"Villaneva, Danilo",Junior High School - Science Department
9770689,"Jacinto, Consolacion",Senior High School - ABM Department
5141967,"Pacion, Katrina",Senior High School - HUMSS Department
9790929,"Encarguez, Rolando",Grade School - MAPEH Department
1250745,"Alcantara, Rosalie",Grade School - English Department
6595404,"Edralin, Dennis",Junior High School - TLE Department
7507675,"Candelario, Lance",Senior High School - ABM Department
7126676,"Campomanes, Sheila",Senior High School - HUMSS Department
8559120,"Reyes, Victorino",Senior High School - HUMSS Department
6646153,"Sabalza, Ana",Senior High School - HUMSS Department
8971329,"Maceda, Adrian",Senior High School - Mathematics Department
7020825,"Galaura, Ryan",Senior High School - HUMSS Department
8171655,"Dela Cruz, Lourdes",Grade School - Values Education Department
7946995,"Rivera, Cristine",Library Department
9518147,"Andres, Katrina",Junior High School - English Department
3403063,"Pabalan, Antonio",Junior High School - Values Education Department
3702047,"Aceron, Manuel",Senior High School - English Department
2338880,"Cruz, Hilario",Grade School - MAPEH Department
5638702,"Aguilar, Abigail",Junior High School - Filipino Department
6938989,"Lagua, Teodoro",Grade School - Social Studies Department
6378717,"Garcia, Nicole",Junior High School - TLE Department
9234031,"Narvasa, Ernesto",Junior High School - TLE Department
2401053,"Gammad, Roxanne",Junior High School - Science Department
9415149,"Umali, Patricia",Grade School - Filipino Department
4964144,"Ganancial, Ana",Grade School - Filipino Department
4484692,"Falloran, Corazon",Junior High School - TLE Department
5916689,"Daproza, Pacita",Junior High School - MAPEH Department
2618244,"Dalusong, Kenneth",Junior High School - Filipino Department
4800701,"Amador, Kristine",Junior High School - Science Department
4746202,"Alvarado, Jennifer",Grade School - Social Studies Department
8123426,"Yap, Maricel",Junior High School - MAPEH Department
9374768,"Macenas, Lea",Junior High School - TLE Department
3521011,"Umpad, Roxanne",Junior High School - Filipino Department
2410587,"Villafuerte, Clarissa",Grade School - English Department
6037301,"Villanueva, Francisco",Grade School - MAPEH Department
8664800,"Jalandoni, Daisy",Administrative Department
3263957,"Camacho, Remedios",Grade School - Science Department
1005292,"Tadena, Adrian",Junior High School - TLE Department
6694842,"Ignacio, Angelo",Senior High School - ABM Department
1456080,"Lago, Mylene",Grade School - Filipino Department
7710537,"Ignacio, Gian",Senior High School - HUMSS Department
9714853,"Lambino, Karen",Grade School - English Department
3937212,"Alejo, Faith",Senior High School - English Department
1943936,"Cabrera, Christian",Senior High School - GAS Department
7664025,"Natad, Arlene",Junior High School - Mathematics Department
6977819,"Abadilla, Maricel",Junior High School - Values Education Department
5891030,"Quinto, Ernesto",Junior High School - Science Department
8391027,"Maceda, Juan",Grade School - Values Education Department
7273992,"Pabalan, Perpetua",Junior High School - TLE Department
7822749,"Ganancial, Carmen",Grade School - English Department
1152740,"Mendoza, Benigno",Junior High School - Values Education Department
1515609,"Valencia, Ramon",Grade School - Social Studies Department
8919936,"Yambot, Juanita",Grade School - Mathematics Department
3645215,"Encarguez, Cristine",Grade School - English Department
3836285,"Sabado, Corazon",Grade School - Values Education Department
5333303,"Dalusong, Bernard",Junior High School - Values Education Department
1551581,"Pascual, Jennifer",Senior High School - Filipino Department
3420917,"Villamor, Ernesto",Senior High School - HUMSS Department
6668041,"Gammad, Manuel",Senior High School - ABM Department
3175503,"Ortega, Rosa",Grade School - Values Education Department
1412708,"Edralin, Kevin",Senior High School - Mathematics Department
5454716,"Camello, Jessa",Junior High School - Araling Panlipunan Department
1852908,"Castillo, Danilo",Grade School - Science Department
3130692,"Galeon, Lourdes",Administrative Department
4969870,"Pagaling, Perpetua",Senior High School - PE and Health Department
5538713,"Villacorta, Kenneth",Senior High School - English Department
8633216,"Agno, Domingo",Junior High School - Mathematics Department
7770223,"Pabalan, Juan",Junior High School - Values Education Department
1018529,"Sablayan, Remedios",Grade School - Values Education Department
8253244,"Dela Torre, Aileen",Senior High School - ABM Department
2462911,"Zara, Lorena",Junior High School - Filipino Department
5643497,"Adlawan, Alyssa",Grade School - MAPEH Department
8508087,"Zalameda, Patricia",Senior High School - ABM Department
3345668,"Tabayag, Pacita",Senior High School - ABM Department
8307917,"Villafuerte, Reginald",Grade School - English Department
7559065,"Tomas, Christian",Grade School - Mathematics Department
9511494,"San Pedro, Victorino",Library Department
2004974,"Quimpo, Juan",Senior High School - PE and Health Department
3019824,"Macasaet, Kenneth",Junior High School - Araling Panlipunan Department
5428479,"De Guzman, Kenneth",Grade School - MAPEH Department
1044845,"Macuto, Rogelio",Senior High School - English Department
3012556,"Zamora, Jennifer",Grade School - MAPEH Department
1454700,"De Leon, Reginald",Junior High School - Mathematics Department
3509830,"Pabilona, Victorino",Grade School - Filipino Department
3218746,"Zamora, Gilbert",Junior High School - MAPEH Department
6517104,"Aguilar, Xyza",Library Department
1016068,"Pacion, Mark",Senior High School - English Department
2096290,"Zapanta, Joshua",Junior High School - Mathematics Department
5932100,"Edang, Ramon",Senior High School - GAS Department
4772436,"Rivera, Karen",Senior High School - ABM Department
8496913,"Daproza, Arnel",Senior High School - PE and Health Department
8629730,"Indunan, Rolando",Senior High School - English Department
6426283,"Nazareno, Patricia",Grade School - Social Studies Department
9371015,"Macuto, Elena",Administrative Department
1192818,"Indunan, Reginald",Senior High School - ABM Department
6223450,"Adaza, Yolanda",Grade School - Mathematics Department
3607680,"Nepomuceno, Joana",Grade School - Social Studies Department
4500750,"Capistrano, Esperanza",Administrative Department
2164428,"Ignacio, Mylene",Junior High School - TLE Department
4694391,"Damasco, Paolo",Grade School - Filipino Department
6258198,"Abad, Florencia",Library Department
6598990,"Gammad, Camille",Senior High School - GAS Department
9379523,"Quirino, Gian",Senior High School - Mathematics Department
8024200,"Pabalan, Angelo",Junior High School - MAPEH Department
8318714,"Abad, Daisy",Senior High School - GAS Department
5106856,"Tomas, Karlo",Junior High School - Araling Panlipunan Department
6208349,"Indan, Angelo",Senior High School - Science Department
3647444,"Reyes, Ana",Grade School - Social Studies Department
3411546,"Famorcan, Gian",Junior High School - Mathematics Department
4409780,"Tan, Elena",Senior High School - Science Department
4026957,"Evangelista, Consolacion",Junior High School - TLE Department
7318639,"Macuto, Aileen",Grade School - Values Education Department
1019266,"Lacson, Narciso",Senior High School - HUMSS Department
3630115,"Jacinto, Felicitas",Guidance and Counseling Department
8064505,"Navarro, Nicole",Senior High School - Mathematics Department
5217632,"Gammad, Rosalie",Senior High School - HUMSS Department
6895279,"Acosta, Hilario",Senior High School - Filipino Department
3230536,"Navarrete, Sheila",Grade School - Filipino Department
7500935,"Zamora, Florencia",Senior High School - HUMSS Department
2332025,"Cadiente, Nathan",Grade School - Science Department
2824491,"Bautista, Alyssa",Senior High School - ABM Department
2555567,"Capistrano, Maricel",Senior High School - PE and Health Department
4761504,"Agno, Pacita",Junior High School - Filipino Department
3899416,"Pabilona, Karlo",Grade School - Mathematics Department
1766250,"Ortega, Felicitas",Junior High School - Mathematics Department
6994201,"Quimpo, Imelda",Junior High School - Values Education Department
1869395,"Lalata, Grace",Junior High School - Mathematics Department
3953060,"Cabrera, Joaquin",Administrative Department
6226009,"Macapagal, Joana",Junior High School - English Department
3754621,"Imperial, Perpetua",Junior High School - Araling Panlipunan Department
2216440,"Aquino, Pacita",Senior High School - HUMSS Department
3024506,"Fajardo, Danilo",Grade School - Values Education Department
1563221,"Edang, Jayson",Junior High School - Araling Panlipunan Department
6659106,"Tan, Manuel",Guidance and Counseling Department
6287009,"Alvarado, Kenneth",Senior High School - GAS Department
4619924,"Amaro, Corazon",Grade School - Science Department
5395736,"Lagua, Ramon",Senior High School - PE and Health Department
4010493,"Edang, Nico",Junior High School - Science Department
